"CLINGEN GENE DISEASE VALIDITY CURATIONS","","","","","","","","",""
"FILE CREATED: 2021-01-31","","","","","","","","",""
"WEBPAGE: https://search.clinicalgenome.org/kb/gene-validity","","","","","","","","",""
"+++++++++++","++++++++++++++","+++++++++++++","++++++++++++++++++","+++++++++","+++++++++","++++++++++++++","+++++++++++++","+++++++++++++++++++","+++++++++++++++++++"
"GENE SYMBOL","GENE ID (HGNC)","DISEASE LABEL","DISEASE ID (MONDO)","MOI","SOP","CLASSIFICATION","ONLINE REPORT","CLASSIFICATION DATE","GCEP"
"+++++++++++","++++++++++++++","+++++++++++++","++++++++++++++++++","+++++++++","+++++++++","++++++++++++++","+++++++++++++","+++++++++++++++++++","+++++++++++++++++++"
"A2ML1","HGNC:23336","Noonan syndrome with multiple lentigines","MONDO:0007893","AD","SOP5","No Known Disease Relationship","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_59b87033-dd91-4f1e-aec1-c9b1f5124b16-2018-06-07T143747.175Z","2018-06-07T14:37:47.175Z","RASopathy"
"A2ML1","HGNC:23336","Noonan syndrome-like disorder with loose anagen hair","MONDO:0011899","AD","SOP5","No Known Disease Relationship","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d14a7e99-1fa0-494f-8f4b-5d2b1e419766-2018-06-07T144011.599Z","2018-06-07T14:40:11.599Z","RASopathy"
"A2ML1","HGNC:23336","Noonan syndrome","MONDO:0018997","AD","SOP5","Disputed","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d910a9d8-516e-443d-acba-8d61f7574792-2018-06-07T142353.157Z","2018-06-07T14:23:53.157Z","RASopathy"
"A2ML1","HGNC:23336","Costello syndrome","MONDO:0009026","AD","SOP5","No Known Disease Relationship","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ea72ba8d-cf62-44bc-86be-da64e3848eba-2018-06-07T143405.324Z","2018-06-07T14:34:05.324Z","RASopathy"
"A2ML1","HGNC:23336","cardiofaciocutaneous syndrome","MONDO:0015280","AD","SOP5","No Known Disease Relationship","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fc3c41d8-8497-489b-a350-c9e30016bc6a-2018-06-07T143103.696Z","2018-06-07T14:31:03.696Z","RASopathy"
"AARS1","HGNC:20","undetermined early-onset epileptic encephalopathy","MONDO:0018614","AR","SOP6","Limited","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ac62fe65-ee56-4146-9fe4-00dc1db2d958-2018-11-20T170000.000Z","2018-11-20T17:00:00.000Z","Epilepsy"
"AASS","HGNC:17366","hyperlysinemia (disease)","MONDO:0009388","AR","SOP7","Moderate","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_92e04f9e-f03e-4295-baac-e9fb6b48a258-2020-06-29T174543.477Z","2020-06-29T17:45:43.477Z","Aminoacidopathy"
"ABCC9","HGNC:60","dilated cardiomyopathy","MONDO:0005021","AD","SOP7","Limited","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8be22ebc-f0f5-4de5-9c2a-382ebd02c533-2020-11-13T170000.000Z","2020-11-13T17:00:00.000Z","Dilated Cardiomyopathy"
