name	hgnc_id
17q12	HGNC:11531
17q12	HGNC:11630
17q12	HGNC:12309
17q12	HGNC:17007
17q12	HGNC:18257
17q12	HGNC:19235
17q12	HGNC:19357
17q12	HGNC:20038
17q12	HGNC:23213
17q12	HGNC:26202
17q12	HGNC:26234
17q12	HGNC:26831
17q12	HGNC:28639
17q12	HGNC:28944
17q12	HGNC:29860
17q12	HGNC:30708
17q12	HGNC:51245
17q12	HGNC:51246
17q12	HGNC:557
17q12	HGNC:6593
17q12	HGNC:84
1q21.1_BP3-BP4	HGNC:1008
1q21.1_BP3-BP4	HGNC:13840
1q21.1_BP3-BP4	HGNC:15580
1q21.1_BP3-BP4	HGNC:18012
1q21.1_BP3-BP4	HGNC:1916
1q21.1_BP3-BP4	HGNC:24297
1q21.1_BP3-BP4	HGNC:25232
1q21.1_BP3-BP4	HGNC:29609
1q21.1_BP3-BP4	HGNC:31993
1q21.1_BP3-BP4	HGNC:33996
1q21.1_BP3-BP4	HGNC:3773
1q21.1_BP3-BP4	HGNC:4279
1q21.1_BP3-BP4	HGNC:4281
1q21.1_BP3-BP4	HGNC:53923
1q21.1_BP3-BP4	HGNC:9379
1q21_TAR	HGNC:16861
1q21_TAR	HGNC:16952
1q21_TAR	HGNC:17013
1q21_TAR	HGNC:18154
1q21_TAR	HGNC:26323
1q21_TAR	HGNC:26618
1q21_TAR	HGNC:27639
1q21_TAR	HGNC:28466
1q21_TAR	HGNC:28715
1q21_TAR	HGNC:30076
1q21_TAR	HGNC:31862
1q21_TAR	HGNC:31984
1q21_TAR	HGNC:31992
1q21_TAR	HGNC:32000
1q21_TAR	HGNC:33593
1q21_TAR	HGNC:33998
1q21_TAR	HGNC:35237
1q21_TAR	HGNC:4887
1q21_TAR	HGNC:6135
1q21_TAR	HGNC:8821
1q21_TAR	HGNC:8853
1q21_TAR	HGNC:9905
2q21.1	HGNC:19236
2q21.1	HGNC:23623
2q21.1	HGNC:26771
2q21.1	HGNC:27016
2q21.1	HGNC:30272
2q21.1	HGNC:33895
2q21.1	HGNC:37094
2q21.1	HGNC:54076
2q21.1	HGNC:684
15q11.2	HGNC:13759
15q11.2	HGNC:15373
15q11.2	HGNC:15375
15q11.2	HGNC:17043
15q11.2	HGNC:17044
15q11.2	HGNC:18600
15q11.2	HGNC:32376
15q11.2	HGNC:33734
15q11.2	HGNC:37444
15q11.2	HGNC:50289
15q11.2	HGNC:51240
15q11.2	HGNC:53069
15q11.2	HGNC:55109
15q11.2	HGNC:55110
15q25_BPB-BPC	HGNC:10397
15q25_BPB-BPC	HGNC:1081
15q25_BPB-BPC	HGNC:10832
15q25_BPB-BPC	HGNC:1120
15q25_BPB-BPC	HGNC:11860
15q25_BPB-BPC	HGNC:14633
15q25_BPB-BPC	HGNC:17513
15q25_BPB-BPC	HGNC:18024
15q25_BPB-BPC	HGNC:21744
15q25_BPB-BPC	HGNC:24937
15q25_BPB-BPC	HGNC:27256
15q25_BPB-BPC	HGNC:28443
15q25_BPB-BPC	HGNC:30493
15q25_BPB-BPC	HGNC:31022
15q25_BPB-BPC	HGNC:37229
15q25_BPB-BPC	HGNC:567
10q11.21q11.23	HGNC:10936
10q11.21q11.23	HGNC:17167
10q11.21q11.23	HGNC:17312
10q11.21q11.23	HGNC:1912
10q11.21q11.23	HGNC:19736
10q11.21q11.23	HGNC:21536
10q11.21q11.23	HGNC:23199
10q11.21q11.23	HGNC:23334
10q11.21q11.23	HGNC:23414
10q11.21q11.23	HGNC:23423
10q11.21q11.23	HGNC:23459
10q11.21q11.23	HGNC:23463
10q11.21q11.23	HGNC:23535
10q11.21q11.23	HGNC:23581
10q11.21q11.23	HGNC:23586
10q11.21q11.23	HGNC:23590
10q11.21q11.23	HGNC:23730
10q11.21q11.23	HGNC:25590
10q11.21q11.23	HGNC:26470
10q11.21q11.23	HGNC:26973
10q11.21q11.23	HGNC:27274
10q11.21q11.23	HGNC:27277
10q11.21q11.23	HGNC:27421
10q11.21q11.23	HGNC:28572
10q11.21q11.23	HGNC:29323
10q11.21q11.23	HGNC:30320
10q11.21q11.23	HGNC:3438
10q11.21q11.23	HGNC:4215
10q11.21q11.23	HGNC:4217
10q11.21q11.23	HGNC:45009
10q11.21q11.23	HGNC:52383
10q11.21q11.23	HGNC:546
10q11.21q11.23	HGNC:6881
10q11.21q11.23	HGNC:7372
10q11.21q11.23	HGNC:7671
10q11.21q11.23	HGNC:8605
10q11.21q11.23	HGNC:9329
10q11.21q11.23	HGNC:9921
16p12.1	HGNC:12586
16p12.1	HGNC:16378
16p12.1	HGNC:1799
16p12.1	HGNC:24615
16p12.1	HGNC:27087
16p12.1	HGNC:27088
16p12.1	HGNC:28740
16p12.1	HGNC:30347
16p12.1	HGNC:35414
16p12.1	HGNC:37233
16p12.1	HGNC:41985
1q21_BP2-BP4	HGNC:1008
1q21_BP2-BP4	HGNC:13840
1q21_BP2-BP4	HGNC:16861
1q21_BP2-BP4	HGNC:16952
1q21_BP2-BP4	HGNC:17013
1q21_BP2-BP4	HGNC:18154
1q21_BP2-BP4	HGNC:1916
1q21_BP2-BP4	HGNC:24297
1q21_BP2-BP4	HGNC:25232
1q21_BP2-BP4	HGNC:26323
1q21_BP2-BP4	HGNC:26618
1q21_BP2-BP4	HGNC:27639
1q21_BP2-BP4	HGNC:28466
1q21_BP2-BP4	HGNC:28715
1q21_BP2-BP4	HGNC:29609
1q21_BP2-BP4	HGNC:30076
1q21_BP2-BP4	HGNC:31862
1q21_BP2-BP4	HGNC:31984
1q21_BP2-BP4	HGNC:31992
1q21_BP2-BP4	HGNC:31993
1q21_BP2-BP4	HGNC:32000
1q21_BP2-BP4	HGNC:33593
1q21_BP2-BP4	HGNC:33996
1q21_BP2-BP4	HGNC:33998
1q21_BP2-BP4	HGNC:35237
1q21_BP2-BP4	HGNC:3773
1q21_BP2-BP4	HGNC:4279
1q21_BP2-BP4	HGNC:4281
1q21_BP2-BP4	HGNC:4887
1q21_BP2-BP4	HGNC:53889
1q21_BP2-BP4	HGNC:53923
1q21_BP2-BP4	HGNC:6135
1q21_BP2-BP4	HGNC:8821
1q21_BP2-BP4	HGNC:8853
1q21_BP2-BP4	HGNC:9379
1q21_BP2-BP4	HGNC:9905
2q13_NPHP1	HGNC:27339
2q13_NPHP1	HGNC:6818
2q13_NPHP1	HGNC:7905
2q13	HGNC:1148
2q13	HGNC:19988
2q13	HGNC:24762
2q13	HGNC:25621
2q13	HGNC:25913
2q13	HGNC:26740
2q13	HGNC:30941
2q13	HGNC:32419
2q13	HGNC:7027
2q13	HGNC:9849
2q13	HGNC:994
16p11.2prox	HGNC:11249
16p11.2prox	HGNC:11455
16p11.2prox	HGNC:11605
16p11.2prox	HGNC:16835
16p11.2prox	HGNC:1769
16p11.2prox	HGNC:18327
16p11.2prox	HGNC:20922
16p11.2prox	HGNC:22234
16p11.2prox	HGNC:2252
16p11.2prox	HGNC:25201
16p11.2prox	HGNC:25295
16p11.2prox	HGNC:26346
16p11.2prox	HGNC:26649
16p11.2prox	HGNC:26905
16p11.2prox	HGNC:27380
16p11.2prox	HGNC:28638
16p11.2prox	HGNC:28707
16p11.2prox	HGNC:28748
16p11.2prox	HGNC:29488
16p11.2prox	HGNC:2985
16p11.2prox	HGNC:30004
16p11.2prox	HGNC:30500
16p11.2prox	HGNC:30844
16p11.2prox	HGNC:30961
16p11.2prox	HGNC:32479
16p11.2prox	HGNC:37491
16p11.2prox	HGNC:414
16p11.2prox	HGNC:4917
16p11.2prox	HGNC:53563
16p11.2prox	HGNC:6391
16p11.2prox	HGNC:6877
16p11.2prox	HGNC:6914
